"Timestamp","Programme of Study","Faculty of Your study"," Name of the Department ","Semester of Study","Residence","Gender","Category","Academic [Content of Syllabi of the courses]","Academic [Experience with extend and delivery of syllabus covered in the class]","Academic [Use  of teaching aids and ICT in the class to facilitate teaching ]","Academic [Experience with Internal assessement]","Academic [Student Teacher Interaction]","Academic [Use of non-traditional methods of evaluation like quiz, assignments, seminar, presentation etc.]","Academic [Integration of theory and practical classes]","Academic [Stimulation for innovative thinking]","Academic [Overall Learning experience]","Academic [Condition of Lab Equipment ]","Academic [Availability of Online resources]","Academic [Research facilities in the Department for research projects/M.Phil./Ph.D.]","Academic [Opportunity to participate in seminar/workshop/conference]","Academic [Experience with research guidance]","Academic [Participation in cio-academic and cultural events]","Infrastructure [Class room Facilities ( LCD/Audio/Computer etc.)]","Infrastructure [Food Outlets/Canteens]","Infrastructure [Libraryu Reading Room Facility]","Infrastructure [Library digital resources and reading material support]","Infrastructure [Internet Facility]","Infrastructure [University Website]","Infrastructure [Department Website]","Infrastructure [Sports facilities]","Infrastructure [Hostel Facility]","Infrastructure [Drinking Water Facility]","Infrastructure [Washroom Facilities]","Support System [Experience of the admission process to the programme you have enrolled in]","Support System [Help received by Orientation programme of the Department]","Support System [Experience with University's Administrative Staff]","Support System [Experience with Department's Administrative Staff]","Support System [Experience with Announcement of result]","Support System [Experience with Availability of Marksheet]","Support System [Experience with evaluation process ]","Support System [Provision of transport facility]","Support System [Availability of healthcare facility]","Support System [Functioning of Placement Cell of the University]","Support System [Functioning of Placement Cell of the Department]","Skills developed during course of study [Analytical Skills]","Skills developed during course of study [Team work/Collaboration Skills]","Skills developed during course of study [Entrepreneurial/Job Skills]","Skills developed during course of study [Clarity of Career Perspective]","Skills developed during course of study [IT Skills]","Skills developed during course of study [Communication Skills]","Skills developed during course of study [Time Management]","Skills developed during course of study [Problem Siolving Skills]","Skills developed during course of study [Leadership Qualities]","Skills developed during course of study [Critical Thinking]","Overall University Experience [Your Overall academic experience]","Overall University Experience [Would you recommend this University to others including ]","Suggestions, if any:"
"2022/04/09 12:22:01 AM GMT+5:30","M.Phil","Social Sciences","Social Work","I","PG/Rented","Female","General","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Very Good","Excellent","Need online examination"
"2022/04/09 12:39:12 AM GMT+5:30","Masters","Arts","Department of Economics ","I","PG/Rented","Female","General","Very Good","Good","Excellent","Good","Average","Below Average","Very Good","Very Good","Very Good","Average","Excellent","Good","Excellent","Average","Average","Very Good","Good","Very Good","Very Good","Very Good","Very Good","Very Good","Good","Below Average","Very Good","Average","Average","Average","Average","Average","Average","Average","Average","Average","Average","Good","Average","Good","Averge","Averge","Averge","Good","Averge","Averge","Good","Averge","Good","Good","Very Good","The semesters are too short and hence a lot of academic pressure piles up on a student. The session breaks are also absent preventing students to work in internships, educational workshops and the like. A very hectic academic life often leads to mental fatigue and exasperation. If this could be improved, it would be highly helpful. 

Also, please urgently begin “residents”admission to the hostels. Up till now the hostels were only admitting students on a guest basis. "
"2022/04/09 1:36:26 AM GMT+5:30","Ph.D","Social Sciences","Department of Sociology","Beyond VI","PG/Rented","Female","General","Very Good","Very Good","Good","Not applicable","Very Good","Very Good","Don't know","Excellent","Very Good","Don't know","Excellent","Excellent","Very Good","Excellent","Very Good","Good","Good","Good","Good","Good","Good","Very Good","Don't know","Average","Very Good","Good","Excellent","Excellent","Very Good","Very Good","Very Good","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Good","Good","Don't Know","Good","Don't Know","Good","Good","Good","Good","Good","Very Good","Excellent","No suggestions.  "
"2022/04/09 1:38:56 AM GMT+5:30","Masters","Social Sciences","Department of Political Science","IV","PG/Rented","Male","General","Excellent","Good","Average","Average","Very Good","Below Average","Good","Good","Excellent","Not applicable","Very Good","Good","Average","Good","Good","Good","Average","Average","Average","Below Average","Good","Good","Don't know","Not applicable","Don't know","Average","Good","Good","Average","Good","Average","Good","Below Average","Average","Don't Know","Don't Know","Don't Know","Good","Good","Below Average","Very Good","Averge","Very Good","Very Good","Good","Excellent","Good","Excellent","Very Good","Keep improving. There is much scope. Never forget the centrality of student's interests as central to academic policies. "
"2022/04/09 2:43:04 AM GMT+5:30","Ph.D","Science","Dr. B.R. Ambedkar center for biomedical research","Beyond VI","Local","Female","General","Good","Average","Average","Average","Good","Average","Average","Average","Good","Average","Average","Average","Good","Good","Below Average","Good","Good","Good","Good","Good","Good","Good","Below Average","Below Average","Average","Average","Average","Average","Good","Good","Average","Average","Good","Average","Below Average","Below Average","Below Average","Good","Good","Averge","Averge","Averge","Good","Good","Good","Good","Good","Average","Average","University should work towards betterment of every facility, and the courses should be revised."
"2022/04/09 2:46:27 AM GMT+5:30","Ph.D","Science","ACBR University of Delhi","Beyond VI","PG/Rented","Male","General","Average","Average","Average","Average","Very Good","Good","Good","Good","Very Good","Excellent","Very Good","Very Good","Very Good","Excellent","Very Good","Good","Average","Average","Good","Good","Good","Very Good","Below Average","Below Average","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Average","Average","Average","Good","Good","Good","Good","Good","Good","Good","Good","Very Good","Good","Good","Good","No"
"2022/04/09 3:26:15 AM GMT+5:30","Masters","Arts","Economics ","IV","PG/Rented","Female","General","Good","Good","Good","Good","Average","Good","Average","Average","Good","Good","Good","Good","Good","Good","Good","Good","Good","Average","Good","Below Average","Below Average","Below Average","Below Average","Good","Average","Good","Good","Average","Average","Average","Average","Good","Good","Below Average","Below Average","Below Average","Very Good","Averge","Averge","Averge","Averge","Below Average","Averge","Averge","Averge","Averge","Averge","Average","Good","None"
"2022/04/09 3:45:08 AM GMT+5:30","Masters","Social Sciences","Political science","I","NCR","Female","General","Good","Average","Below Average","Average","Average","Below Average","Not applicable","Very Good","Good","Don't know","Good","Don't know","Don't know","Don't know","Don't know","Below Average","Not applicable","Good","Average","Average","Good","Good","Not applicable","Not applicable","Below Average","Below Average","Good","Not  Applicable","Average","Good","Not  Applicable","Good","Average","Average","Not  Applicable","Below Average","Below Average","Good","Averge","Below Average","Very Good","Below Average","Very Good","Good","Averge","Averge","Averge","Good","Good","Nope"
"2022/04/09 7:36:24 AM GMT+5:30","Ph.D","Science","ACBR","V","Other","Male","General","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Below Average","Excellent","Below Average","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Average","Average","Average","Average","Average","Average","Average","Average","Below Average","Average","Average","Averge","Averge","Averge","Averge","Averge","Averge","Averge","Averge","Averge","Averge","Average","Don't Know","instrument are not working which we need for research like circular dichroism in ACBR also we need some more instrument but unavailability of funds make research worse than good now a days"
"2022/04/09 7:36:35 AM GMT+5:30","Ph.D","Science","ACBR","V","Other","Male","General","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Below Average","Excellent","Below Average","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Average","Average","Average","Average","Average","Average","Average","Average","Below Average","Average","Average","Averge","Averge","Averge","Averge","Averge","Averge","Averge","Averge","Averge","Averge","Average","Don't Know","instrument are not working which we need for research like circular dichroism in ACBR also we need some more instrument but unavailability of funds make research worse than good now a days"
"2022/04/09 7:56:44 AM GMT+5:30","Masters","Social Sciences","Economics ","II","PG/Rented","Female","OBC","Good","Good","Good","Good","Average","Average","Good","Good","Average","Average","Good","Good","Very Good","Don't know","Good","Average","Average","Don't know","Good","Average","Good","Good","Don't know","Below Average","Very Good","Good","Excellent","Very Good","Good","Very Good","Very Good","Very Good","Don't Know","Don't Know","Don't Know","Good","Very Good","Good","Averge","Good","Very Good","Good","Very Good","Good","Good","Very Good","Good","Very Good","Very Good","If the capacity of the hostels can be increased that will enhance the overall experience of the students and they can invest their times kn research and can acquire other skills, rather than worrying  about their accomodation  "
"2022/04/09 8:25:40 AM GMT+5:30","Masters","Arts","Department Of East Asian studies","I","NCR","Female","General","Very Good","Very Good","Very Good","Very Good","Excellent","Good","Good","Very Good","Excellent","Good","Excellent","Not applicable","Not applicable","Not applicable","Below Average","Excellent","Not applicable","Excellent","Don't know","Average","Good","Very Good","Don't know","Not applicable","Below Average","Below Average","Excellent","Don't Know","Excellent","Excellent","Excellent","Not  Applicable","Very Good","Don't Know","Don't Know","Don't Know","Don't Know","Very Good","Very Good","Don't Know","Very Good","Not Applicable","Excellent","Good","Excellent","Very Good","Very Good","Very Good","Very Good","No "
"2022/04/09 8:27:17 AM GMT+5:30","Masters","Arts","Political science ","I","PG/Rented","Male","General;OBC;EWS","Good","Good","Good","Good","Average","Average","Not applicable","Good","Not applicable","Not applicable","Very Good","Not applicable","Very Good","Very Good","Average","Good","Good","Good","Good","Good","Good","Average","Good","Good","Good","Good","Good","Good","Average","Good","Average","Good","Good","Good","Good","Good","Good","Very Good","Not Applicable","Not Applicable","Good","Not Applicable","Good","Good","Good","Good","Very Good","Good","Don't Know","No Suggestion "
"2022/04/09 8:45:30 AM GMT+5:30","Ph.D","Social Sciences","Department of social work","Beyond VI","Other","Female","SC","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Average","Good","Good","Good","Good","Good","Average","Good","Average","Average","Good","Average","Average","Average","Average","Below Average","Very Good","Good","Good","Good","Good","Good","Good","Below Average","Below Average","Don't Know","Very Good","Good","Good","Very Good","Very Good","Good","Very Good","Very Good","Very Good","Good","Very Good","Good","Very Good","Every thing is fine but university need to be more student's friendly. The informations are not clearly conveyed, student's grievances are not resolved properly, partial and biased administration staff etc."
"2022/04/09 8:45:41 AM GMT+5:30","Masters","Arts","Political science","I","Local","Female","General","Good","Average","Below Average","Average","Average","Don't know","Below Average","Good","Average","Below Average","Very Good","Not applicable","Good","Not applicable","Don't know","Below Average","Don't know","Good","Don't know","Below Average","Good","Good","Don't know","Don't know","Good","Good","Good","Don't Know","Don't Know","Very Good","Don't Know","Good","Good","Good","Don't Know","Don't Know","Don't Know","Averge","Averge","Below Average","Averge","Below Average","Averge","Averge","Averge","Averge","Averge","Good","Very Good","Need improvement"
"2022/04/09 9:02:08 AM GMT+5:30","Ph.D","Science","DR. BR AMBEDKAR CENTER FOR BIOMEDICAL RESEARCH","I","Other","Female","ST","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Average","Good","Good","Good","Good","Good","Below Average","Average","Good","Good","Good","Average","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","I am having a good experience with my course"
